Career,Python,Java,C++,SQL,HTML/CSS,JavaScript,React,Node.js,TensorFlow,Machine Learning,Data Visualization,Cybersecurity,AWS,Azure,Docker,Kubernetes,UI/UX Design,Figma,Problem Solving,Communication
Blockchain Developer,1,2,1,3,4,2,5,3,1,2,1,1,1,4,4,5,2,3,3,3
Software Engineer,4,2,1,4,4,2,2,2,1,5,2,5,1,5,3,5,2,1,2,3
Blockchain Developer,2,2,4,3,2,2,2,1,4,1,4,2,3,5,5,2,1,3,4,2
Machine Learning Engineer,3,4,3,1,1,1,3,1,4,3,5,3,4,5,3,1,2,2,1,2
Product Manager,2,1,1,3,3,1,4,2,3,2,5,1,4,5,5,5,1,3,1,3
Cybersecurity Analyst,5,4,3,5,2,4,1,4,2,3,1,1,3,4,5,4,2,5,4,3
Data Scientist,2,2,5,1,5,4,1,4,1,5,2,3,2,5,1,2,5,4,3,2
Software Engineer,4,5,3,1,5,5,2,2,1,5,2,3,3,5,2,1,1,1,3,2
Data Scientist,3,1,1,5,4,2,2,2,4,5,4,1,1,2,3,2,3,4,1,3
Mobile App Developer,1,3,2,2,2,4,2,5,1,4,2,1,3,2,1,5,3,5,1,5
UI/UX Designer,1,1,5,1,2,1,4,1,4,1,1,5,2,2,3,5,5,2,5,2
Software Engineer,2,2,4,5,5,2,1,1,1,5,4,2,3,4,3,4,1,5,3,4
Cybersecurity Analyst,3,2,4,2,1,2,2,4,1,2,5,3,2,1,2,3,1,4,1,4
Software Engineer,3,3,1,2,3,4,4,5,4,5,1,1,1,2,2,5,4,4,1,3
Blockchain Developer,2,1,2,1,5,4,3,4,4,5,2,3,2,4,1,4,2,4,1,5
UI/UX Designer,2,4,2,5,4,4,2,2,1,5,1,4,2,4,4,3,3,4,2,4
Machine Learning Engineer,2,4,5,5,4,2,4,4,3,5,3,3,4,3,5,3,5,3,5,3
Machine Learning Engineer,2,5,5,5,1,3,5,1,2,5,5,1,3,2,5,3,2,4,4,2
Business Analyst,2,2,1,1,3,3,1,4,4,2,5,2,2,5,1,4,2,5,3,2
Mobile App Developer,1,2,2,5,3,3,1,4,1,2,2,3,4,5,4,2,5,4,4,5
Blockchain Developer,4,5,2,5,5,4,2,4,1,1,2,5,4,4,2,2,1,3,2,3
Blockchain Developer,5,5,1,1,3,2,4,1,4,4,2,3,2,1,4,2,2,2,1,3
Product Manager,2,1,4,5,1,5,2,2,1,5,2,4,3,3,2,5,2,5,4,5
Blockchain Developer,4,1,3,2,2,2,4,1,5,1,4,2,3,2,5,3,2,3,1,4
UI/UX Designer,2,5,1,2,1,5,2,5,3,5,3,2,3,2,2,4,2,3,4,4
Data Scientist,5,5,4,2,5,2,2,4,4,1,5,5,5,3,2,4,5,1,5,2
Blockchain Developer,4,3,4,5,1,4,3,4,2,5,5,5,5,5,5,1,3,5,3,5
DevOps Engineer,5,2,1,4,4,2,5,1,4,1,4,5,4,4,3,5,2,2,5,2
Blockchain Developer,3,2,4,5,1,1,5,3,2,3,1,5,5,3,3,2,4,4,2,4
Business Analyst,4,2,4,5,3,1,5,5,2,3,3,1,2,1,4,5,1,5,2,4
Blockchain Developer,4,4,5,2,2,1,2,1,3,3,3,2,2,1,4,1,3,1,4,2
Software Engineer,3,3,2,1,4,2,1,5,3,4,4,4,3,1,2,1,2,4,1,4
Product Manager,5,4,4,2,5,4,4,5,5,1,2,5,5,3,5,2,4,4,4,4
Machine Learning Engineer,5,4,1,4,5,4,3,2,2,5,2,2,1,5,5,2,2,2,3,4
Machine Learning Engineer,5,1,4,1,5,5,1,1,1,5,2,1,4,5,3,3,4,2,1,5
UI/UX Designer,1,5,3,1,4,2,4,2,1,1,2,3,5,4,4,4,1,4,5,5
Data Scientist,1,5,3,1,1,5,3,2,5,3,1,3,1,5,5,4,4,4,5,2
Cybersecurity Analyst,3,5,5,1,1,1,5,2,3,3,2,2,3,4,1,1,3,2,4,3
Software Engineer,5,2,5,3,1,4,5,4,1,5,4,4,5,1,4,3,5,2,2,1
Machine Learning Engineer,4,2,1,3,3,1,1,4,1,4,4,5,3,3,3,5,4,4,1,5
Software Engineer,5,1,2,3,3,4,2,3,4,2,3,1,5,2,4,2,4,2,4,3
Business Analyst,3,1,3,3,2,5,4,4,4,1,4,4,2,3,4,5,4,1,1,1
Mobile App Developer,2,5,4,2,2,4,4,2,2,2,4,2,1,4,1,3,4,3,2,2
Cloud Architect,5,2,3,2,4,2,5,2,3,3,2,3,3,5,4,5,1,5,2,4
Blockchain Developer,1,4,3,5,2,1,3,5,3,5,4,3,3,3,4,1,5,3,4,1
UI/UX Designer,5,4,5,3,1,4,1,3,1,1,2,1,5,4,2,4,4,3,3,2
Cloud Architect,3,3,3,4,2,4,5,4,5,1,1,5,5,4,5,2,1,1,5,3
Machine Learning Engineer,5,2,3,5,2,2,4,2,3,3,5,5,2,1,4,1,2,2,1,4
Product Manager,1,5,3,5,3,2,4,1,4,1,5,5,1,4,1,2,5,2,5,5
Machine Learning Engineer,2,2,3,4,2,1,3,2,4,2,5,1,3,5,4,5,5,4,5,3
Blockchain Developer,5,3,2,2,5,3,5,4,2,5,2,3,1,5,5,2,3,4,3,5
DevOps Engineer,3,1,2,3,3,1,5,2,3,4,3,2,3,1,3,3,4,1,1,3
Cloud Architect,4,3,3,2,2,4,5,2,5,1,2,2,4,5,2,2,4,4,5,1
Cloud Architect,1,3,2,5,2,5,5,5,2,4,2,5,3,1,5,3,4,5,3,5
Data Scientist,3,2,2,3,1,3,1,5,5,3,5,4,2,2,1,5,1,2,2,5
Cloud Architect,4,4,5,5,1,5,4,5,1,1,1,1,3,5,2,5,3,1,3,4
Mobile App Developer,5,5,2,2,4,1,3,2,2,1,1,5,3,1,2,2,4,1,5,3
Cloud Architect,5,2,5,2,2,2,2,2,4,5,4,4,1,1,1,3,1,5,4,5
Business Analyst,3,3,4,5,2,5,1,2,3,4,4,3,1,3,1,2,3,1,2,3
DevOps Engineer,3,5,3,5,2,3,2,2,1,2,2,3,3,4,1,2,1,5,2,1
Product Manager,4,4,2,5,4,4,5,1,4,3,4,1,1,2,3,1,5,3,3,5
DevOps Engineer,5,5,4,4,4,4,4,5,2,2,1,2,2,5,4,4,5,2,5,1
Mobile App Developer,3,1,1,5,2,4,3,1,3,2,2,3,4,2,3,1,3,3,5,2
DevOps Engineer,4,5,4,3,5,1,2,2,2,3,1,5,5,2,1,1,1,4,4,2
Business Analyst,1,5,5,2,1,2,5,5,4,2,2,1,1,4,3,3,3,2,2,5
Blockchain Developer,2,2,4,2,1,1,5,4,1,4,4,5,4,2,4,5,5,5,1,2
Software Engineer,3,2,4,5,3,2,1,5,1,2,2,3,4,1,3,5,4,3,1,2
Cloud Architect,1,4,4,2,2,5,5,2,2,4,2,3,1,2,5,3,5,3,2,1
UI/UX Designer,5,3,4,2,1,2,4,1,4,2,3,2,2,2,5,4,4,4,5,3
Data Scientist,3,5,4,2,1,1,3,4,1,3,5,3,3,3,2,3,3,2,2,5
Product Manager,4,1,1,3,5,3,1,2,4,5,2,4,5,5,1,2,5,5,4,1
Full Stack Developer,1,3,2,2,5,2,5,1,2,1,1,2,1,2,2,2,3,1,4,2
Software Engineer,5,2,2,4,3,3,2,1,5,5,1,2,5,3,1,4,2,1,5,2
Machine Learning Engineer,2,2,3,3,2,3,1,3,3,2,1,4,4,5,3,3,1,4,5,1
Full Stack Developer,4,5,2,4,5,1,2,5,5,3,4,3,2,5,3,4,2,1,3,2
Software Engineer,3,2,2,3,2,5,3,2,1,1,5,3,2,2,1,5,1,1,5,3
Blockchain Developer,3,4,4,4,5,1,3,2,4,3,4,4,2,5,1,5,3,5,3,3
Software Engineer,2,1,5,3,4,4,3,1,2,1,3,3,2,5,5,2,5,4,5,5
DevOps Engineer,5,4,2,1,2,1,2,1,1,3,1,1,3,5,5,3,4,1,1,3
Machine Learning Engineer,4,5,2,5,1,3,4,5,4,5,1,2,4,4,2,4,4,5,5,2
Product Manager,1,4,1,2,2,5,4,3,2,4,1,5,1,2,2,1,2,4,2,5
Mobile App Developer,3,2,2,5,5,1,1,1,5,1,1,3,1,2,5,4,3,5,5,2
Product Manager,1,2,1,1,5,1,3,3,3,5,2,4,1,4,2,2,5,3,3,2
Software Engineer,3,2,4,3,1,5,2,3,4,1,1,3,4,1,2,1,4,5,5,3
DevOps Engineer,1,1,5,5,2,5,2,1,2,2,3,5,2,1,4,2,5,3,1,3
DevOps Engineer,2,2,5,2,1,4,3,4,2,3,5,4,3,3,3,1,4,3,4,3
Cybersecurity Analyst,5,5,2,3,2,4,2,4,4,4,2,3,2,3,3,4,2,3,5,3
Cybersecurity Analyst,2,2,2,3,1,3,3,4,4,3,5,4,3,1,5,2,3,3,5,4
DevOps Engineer,4,2,5,5,4,4,1,1,3,3,5,5,2,2,1,3,1,1,3,2
Cloud Architect,3,4,4,4,5,2,2,5,1,4,4,1,3,3,2,5,2,3,1,2
Mobile App Developer,4,1,3,4,4,5,2,3,2,3,4,5,2,4,3,2,2,4,2,5
Cybersecurity Analyst,4,3,4,5,1,1,2,2,1,5,2,4,4,5,2,4,2,2,4,1
Product Manager,4,5,3,4,2,2,4,3,4,3,3,5,2,2,3,2,1,3,2,1
Blockchain Developer,1,4,4,1,3,3,2,4,3,3,4,5,3,1,2,3,3,5,1,2
Full Stack Developer,2,4,3,3,4,5,3,2,1,2,5,1,2,2,4,5,4,1,4,5
Machine Learning Engineer,3,1,3,4,1,5,1,1,2,2,1,3,2,5,4,2,1,3,4,2
Cloud Architect,3,3,3,1,5,3,4,2,4,1,1,4,5,1,1,4,1,5,5,5
Blockchain Developer,5,5,2,3,1,5,1,4,1,2,1,1,1,3,3,4,2,1,1,1
Business Analyst,3,4,5,2,1,4,5,4,3,5,4,3,4,4,5,3,1,2,5,3
Product Manager,4,3,2,2,1,1,2,5,5,4,1,4,1,2,5,5,2,4,4,3
UI/UX Designer,1,4,2,4,5,1,3,1,5,5,5,5,2,3,5,5,4,3,1,3
Machine Learning Engineer,3,5,5,2,1,4,3,1,1,2,4,3,4,2,5,1,3,5,2,4
Software Engineer,3,5,5,1,4,2,4,4,4,1,1,2,4,1,2,2,4,3,4,3
Data Scientist,1,5,2,1,2,4,3,2,1,4,5,4,3,4,5,1,2,3,5,3
DevOps Engineer,3,5,2,2,3,1,3,4,2,2,2,1,1,5,3,3,4,2,1,4
Mobile App Developer,1,3,2,3,4,2,5,4,3,3,3,1,4,2,3,3,1,2,4,5
Software Engineer,4,5,3,3,2,5,3,3,2,4,3,1,1,4,5,2,1,1,4,5
Cybersecurity Analyst,4,1,2,1,5,1,2,3,1,4,3,4,4,4,1,5,3,2,5,1
Mobile App Developer,2,3,5,5,2,1,3,2,4,3,5,2,5,5,5,1,5,4,4,3
Product Manager,5,5,2,1,3,5,2,1,3,3,5,3,2,3,4,2,1,1,5,5
Mobile App Developer,1,1,1,1,3,2,2,4,3,1,1,5,5,4,1,4,3,2,1,3
Software Engineer,5,4,5,2,5,1,5,1,2,5,4,4,4,5,5,5,1,2,4,1
UI/UX Designer,4,1,5,4,5,4,3,1,3,1,2,4,2,2,1,3,5,1,5,2
Full Stack Developer,1,3,3,1,3,4,4,4,5,3,1,1,5,1,4,3,1,1,2,2
Blockchain Developer,3,4,4,4,3,3,2,1,5,5,1,2,1,1,5,2,3,5,3,2
Software Engineer,4,4,2,4,3,4,2,2,3,4,4,1,5,2,1,2,1,5,1,2
Mobile App Developer,2,3,3,3,3,5,4,4,2,1,2,2,2,2,4,1,2,4,2,3
Blockchain Developer,2,5,3,1,2,1,3,2,5,4,5,5,4,4,4,2,1,1,4,5
Full Stack Developer,4,5,5,2,2,1,1,3,3,3,3,5,5,1,2,2,4,5,3,3
DevOps Engineer,2,3,2,4,2,2,2,3,1,5,2,2,2,1,4,3,1,2,1,1
Business Analyst,4,5,3,4,4,5,4,1,1,2,4,2,3,1,3,5,1,3,5,3
Cloud Architect,5,5,1,2,5,5,1,2,4,4,2,3,1,2,4,5,4,5,1,5
Data Scientist,5,3,2,1,2,3,1,4,3,1,5,2,1,2,5,1,4,3,1,5
Business Analyst,2,1,4,1,3,1,2,1,4,5,1,1,3,4,5,2,1,5,2,4
DevOps Engineer,5,2,4,5,4,4,4,3,2,5,5,2,2,2,2,1,5,1,4,4
DevOps Engineer,2,1,2,4,1,2,5,2,4,1,5,1,5,1,4,5,3,1,1,2
Full Stack Developer,4,2,3,5,3,1,1,2,5,5,3,2,5,1,3,4,1,2,5,1
DevOps Engineer,4,2,1,3,1,4,2,2,3,2,2,2,2,2,4,1,5,2,5,5
Mobile App Developer,2,5,2,3,3,3,5,3,4,4,5,2,1,2,2,2,2,1,3,2
Product Manager,4,5,5,4,2,1,3,5,3,1,5,3,1,3,2,1,3,2,2,1
DevOps Engineer,5,1,2,2,1,4,5,3,1,5,5,2,3,1,2,2,4,5,1,1
Business Analyst,2,4,3,2,3,4,5,1,3,2,3,5,1,3,5,2,4,2,1,2
UI/UX Designer,2,2,2,1,5,3,4,3,3,4,1,4,1,3,1,5,4,5,3,4
Machine Learning Engineer,5,3,4,4,3,4,4,3,5,4,4,4,4,3,5,5,1,4,4,1
Blockchain Developer,2,5,4,2,3,3,1,5,5,2,4,5,2,2,5,2,1,1,5,4
Software Engineer,1,5,3,2,1,3,4,3,5,4,4,3,5,1,3,1,3,1,3,4
Data Scientist,4,1,5,4,2,1,4,3,5,1,4,1,3,2,4,1,1,1,2,1
Product Manager,5,5,1,5,4,5,1,3,4,2,1,2,3,2,1,1,3,1,3,3
Software Engineer,5,3,1,5,3,5,4,4,5,3,1,2,1,2,2,3,5,1,5,4
Full Stack Developer,3,4,1,4,1,2,3,1,5,5,3,4,4,1,4,3,1,2,4,4
Business Analyst,5,4,3,4,2,4,5,4,1,4,5,1,3,1,2,1,3,4,1,1
Software Engineer,1,3,5,5,1,3,3,1,2,1,2,1,2,2,1,2,4,5,3,2
Data Scientist,3,2,3,1,4,4,5,2,5,1,4,1,1,2,1,4,5,4,2,4
Machine Learning Engineer,5,3,3,2,1,3,4,1,4,4,1,1,4,2,5,5,2,1,4,5
Mobile App Developer,2,4,2,1,2,2,5,4,5,3,2,3,5,4,5,4,4,1,2,5
Mobile App Developer,5,5,4,3,2,2,1,1,1,2,3,2,2,2,2,3,1,5,1,1
Blockchain Developer,3,3,1,5,4,2,1,3,5,5,1,4,3,1,4,5,2,3,3,4
Business Analyst,5,4,2,2,2,4,5,3,1,3,5,3,4,2,5,5,3,4,3,3
Cybersecurity Analyst,3,2,3,2,5,4,2,4,4,2,5,1,4,4,5,5,3,5,4,2
Business Analyst,3,2,1,1,1,2,3,3,1,2,1,5,3,4,1,5,3,2,3,2
Product Manager,2,1,1,3,5,3,4,2,2,1,5,1,4,3,3,5,1,1,4,3
Business Analyst,5,3,4,5,2,4,5,1,2,4,1,2,3,1,5,4,2,1,3,4
Mobile App Developer,1,3,2,1,2,4,2,3,5,3,2,1,4,5,1,1,3,2,3,2
Full Stack Developer,1,4,2,5,5,1,3,3,1,5,5,3,2,4,2,5,2,4,2,2
Blockchain Developer,2,1,5,4,5,1,1,1,1,2,5,3,4,1,5,1,1,1,1,1
Mobile App Developer,5,1,1,1,1,2,2,3,1,3,4,3,5,2,2,1,1,4,4,5
Software Engineer,1,4,4,4,2,3,3,1,2,4,1,2,5,2,1,3,4,5,2,1
UI/UX Designer,1,4,1,1,4,5,3,3,2,5,2,3,4,1,3,5,3,5,5,5
Blockchain Developer,4,3,4,1,3,4,4,1,5,3,3,1,5,3,3,3,5,1,3,4
Cybersecurity Analyst,2,1,4,3,2,1,5,2,2,4,1,4,4,3,5,2,1,5,5,1
Full Stack Developer,5,3,2,2,4,3,2,5,1,1,3,4,5,3,1,3,5,2,5,2
Data Scientist,2,3,1,3,1,5,4,5,3,3,1,3,2,3,1,1,2,1,4,5
Full Stack Developer,4,3,4,3,2,1,1,2,4,5,4,1,5,3,5,4,2,3,4,3
Software Engineer,4,2,5,4,2,4,5,4,3,5,4,1,4,3,2,2,2,1,3,5
Blockchain Developer,3,4,1,3,3,5,3,5,1,1,4,5,5,2,2,4,1,2,3,1
Cloud Architect,3,5,1,4,5,5,3,5,2,1,2,3,3,1,5,4,3,1,4,5
Cloud Architect,3,1,1,1,3,4,1,5,1,4,3,1,1,5,5,1,1,5,4,2
UI/UX Designer,2,1,5,3,3,2,4,2,1,4,3,5,5,1,2,1,5,3,5,4
Product Manager,5,5,4,2,5,1,5,1,4,5,4,4,2,5,1,1,5,2,2,2
Software Engineer,4,2,1,1,4,5,5,2,2,4,2,4,1,2,1,3,4,3,2,1
Blockchain Developer,3,2,5,3,2,1,2,1,5,2,5,3,1,3,1,5,4,2,5,1
Business Analyst,1,1,2,3,4,2,1,2,5,1,4,1,4,4,3,3,2,2,4,1
Cybersecurity Analyst,5,1,1,3,5,4,2,3,5,1,5,4,3,1,4,2,3,4,4,1
Blockchain Developer,4,3,4,5,3,3,4,1,3,5,1,1,1,3,1,4,1,5,2,5
Full Stack Developer,1,1,4,1,5,3,2,1,2,1,3,5,3,2,1,2,5,3,2,2
Cybersecurity Analyst,1,2,5,1,1,3,5,1,3,4,5,4,1,5,3,1,5,5,4,1
Machine Learning Engineer,3,1,1,2,4,1,1,2,2,5,3,4,5,1,2,3,5,3,2,5
Product Manager,3,2,1,5,1,2,5,5,1,4,1,1,4,2,2,5,3,3,5,3
Software Engineer,1,4,4,5,5,5,1,3,5,5,1,1,1,3,5,2,2,5,5,5
UI/UX Designer,3,2,4,2,2,1,5,5,5,1,3,3,4,3,3,5,2,3,3,1
Mobile App Developer,1,5,2,4,1,3,3,4,3,1,1,3,3,5,2,4,1,4,5,1
Cybersecurity Analyst,5,3,4,4,3,4,3,1,5,5,4,2,5,3,2,2,5,5,5,3
Data Scientist,4,3,1,5,2,3,1,3,3,4,4,3,1,2,2,5,5,2,3,3
Mobile App Developer,4,5,2,3,2,1,2,1,4,4,5,2,2,1,4,1,4,1,4,1
Mobile App Developer,1,2,5,1,5,2,2,4,5,3,4,5,1,1,2,3,1,5,5,1
Cybersecurity Analyst,2,3,2,3,5,3,5,5,2,2,4,1,4,4,3,5,5,5,1,3
Machine Learning Engineer,5,4,1,4,2,3,3,4,1,3,4,1,4,1,5,1,2,5,4,5
Cybersecurity Analyst,4,4,2,4,3,3,2,1,1,3,4,2,1,1,5,3,4,2,1,5
Full Stack Developer,3,2,1,2,2,5,3,4,3,3,5,4,1,4,1,4,2,4,5,1
Machine Learning Engineer,5,1,1,3,2,5,3,3,2,5,3,2,5,4,1,2,1,4,3,3
Cybersecurity Analyst,2,2,5,1,3,3,2,2,5,4,1,4,4,2,2,2,4,1,2,3
Product Manager,1,3,1,2,5,2,4,4,1,4,2,3,2,1,4,3,5,3,3,2
Cybersecurity Analyst,1,1,3,3,4,5,3,4,5,1,4,5,4,3,2,1,3,3,5,4
Software Engineer,3,5,1,4,3,3,3,1,1,1,1,5,2,5,3,5,4,1,4,4
Product Manager,3,1,4,3,1,2,3,5,1,4,4,5,5,4,1,3,5,5,5,2
Cloud Architect,1,1,1,1,1,4,5,4,2,3,5,2,4,3,2,3,2,4,3,2
Product Manager,4,5,4,4,5,4,5,5,5,2,3,2,5,3,3,5,3,3,2,3
Product Manager,5,1,1,1,5,1,2,5,5,5,3,3,3,4,2,5,5,3,5,5
Business Analyst,5,4,3,2,2,1,2,2,3,3,4,1,2,4,1,2,2,3,5,1
Blockchain Developer,1,4,4,5,2,3,2,1,4,1,5,4,3,4,2,2,4,5,2,2
Product Manager,3,4,2,5,1,4,3,2,5,4,5,5,3,4,2,3,2,1,5,1
Cybersecurity Analyst,3,2,2,3,4,1,1,2,2,2,3,4,1,5,3,1,4,3,1,3
Business Analyst,1,4,5,4,1,3,4,5,1,4,4,4,4,3,5,5,1,2,3,1
Software Engineer,4,2,2,3,2,1,2,2,5,1,2,2,4,2,2,5,1,3,1,4
Business Analyst,2,4,1,4,3,1,2,4,5,4,5,2,3,5,3,4,2,5,4,1
DevOps Engineer,3,2,2,4,1,3,4,4,2,3,1,2,4,2,2,5,2,2,3,2
Software Engineer,4,3,2,1,4,3,1,2,5,5,3,1,4,1,5,3,2,1,5,4
Machine Learning Engineer,2,1,4,2,5,5,4,5,3,4,5,1,5,3,2,2,5,2,5,3
Blockchain Developer,1,5,2,3,3,1,3,3,2,5,4,3,3,4,3,2,2,4,3,3
Cybersecurity Analyst,3,2,1,1,1,1,3,3,5,3,1,4,4,2,2,3,4,1,1,1
Machine Learning Engineer,3,5,1,1,3,3,5,5,2,4,1,1,5,5,2,4,2,4,1,2
Cybersecurity Analyst,2,2,1,5,5,3,3,3,1,2,5,5,2,5,2,1,1,1,2,2
DevOps Engineer,5,5,4,4,1,4,2,3,2,4,5,2,5,2,5,2,5,3,1,2
Machine Learning Engineer,1,2,3,3,3,4,5,1,5,5,5,3,5,4,2,3,1,2,2,2
Cloud Architect,5,3,5,5,5,3,3,4,4,4,4,2,2,4,4,1,2,1,1,5
UI/UX Designer,3,2,4,4,3,2,4,4,5,1,4,2,3,5,2,5,1,4,2,3
UI/UX Designer,1,1,5,1,2,5,1,3,2,3,3,5,4,5,2,2,5,4,5,2
DevOps Engineer,2,4,4,5,5,5,4,4,2,3,5,2,2,1,5,2,1,5,4,1
Mobile App Developer,3,3,3,3,2,3,2,2,5,2,2,3,2,4,3,1,3,2,4,3
DevOps Engineer,1,1,5,5,3,5,4,5,4,5,5,5,2,2,5,4,3,1,2,5
Business Analyst,2,3,4,5,3,2,5,1,4,2,4,5,3,4,1,2,1,4,3,3
Business Analyst,5,5,3,1,1,1,4,5,5,4,2,4,1,4,1,3,1,5,4,1
Data Scientist,3,2,2,2,3,3,3,3,2,5,5,3,4,1,4,4,4,5,1,4
Machine Learning Engineer,5,3,3,4,3,1,3,4,3,5,5,5,2,5,5,2,5,4,5,5
Data Scientist,4,3,1,4,3,4,3,3,4,2,4,4,3,1,3,5,4,4,2,3
Blockchain Developer,4,3,3,5,5,1,5,3,5,1,4,5,3,4,3,4,3,5,5,1
Mobile App Developer,1,2,5,4,1,1,2,1,3,5,1,1,2,3,1,5,5,1,3,5
Cybersecurity Analyst,3,3,1,4,2,4,4,5,3,5,2,1,2,5,5,5,5,4,1,4
Full Stack Developer,4,5,5,1,2,4,4,4,5,1,5,5,3,1,4,2,4,5,1,1
Business Analyst,3,4,3,2,5,3,3,5,1,5,4,5,1,5,3,2,3,2,5,4
Business Analyst,5,2,3,4,5,5,3,4,5,5,2,2,1,3,4,5,5,1,5,3
Software Engineer,3,1,5,1,2,4,5,4,5,4,2,4,1,4,5,3,4,4,4,5
Mobile App Developer,5,5,3,1,5,2,4,2,4,3,5,1,5,4,1,5,1,4,3,3
Product Manager,5,2,4,5,5,3,1,4,1,4,2,3,2,5,3,5,2,4,5,1
DevOps Engineer,4,2,2,3,3,1,4,1,1,2,1,1,5,3,3,4,3,4,5,3
Full Stack Developer,3,5,1,1,1,1,3,2,5,2,2,4,1,3,1,1,2,4,1,5
Cybersecurity Analyst,1,2,2,3,4,2,3,5,5,5,1,4,3,4,1,3,3,2,4,4
Data Scientist,5,1,4,2,3,2,5,1,5,3,3,3,3,2,3,3,2,3,5,5
DevOps Engineer,5,1,1,1,2,5,1,4,2,4,5,3,4,3,2,4,4,2,2,1
DevOps Engineer,4,2,2,5,2,3,3,3,3,5,4,3,2,3,5,2,3,4,2,2
DevOps Engineer,2,3,2,3,4,1,4,3,5,4,5,5,3,3,1,2,4,3,4,5
Product Manager,2,1,4,2,1,4,2,3,4,2,1,2,3,4,4,4,3,1,4,1
Blockchain Developer,1,1,4,5,5,3,3,5,2,4,4,2,2,5,3,2,3,1,4,5
Mobile App Developer,5,1,4,1,5,2,4,1,4,4,4,3,1,1,4,2,4,3,5,3
UI/UX Designer,2,4,1,4,2,1,3,5,5,4,3,2,5,3,4,1,4,4,3,5
Machine Learning Engineer,1,3,2,4,5,1,4,3,2,3,4,1,5,4,1,4,2,3,5,1
Cybersecurity Analyst,5,5,1,1,5,3,4,5,2,5,1,4,2,4,4,2,5,5,5,3
UI/UX Designer,5,2,3,5,3,2,5,1,2,4,4,2,4,2,1,2,5,5,3,4
UI/UX Designer,4,2,4,5,1,2,4,5,3,4,1,1,4,4,5,4,3,5,2,3
Cloud Architect,1,5,3,4,3,2,5,5,5,5,1,1,4,5,2,4,5,1,2,4
Data Scientist,5,3,2,2,1,5,2,5,1,5,1,1,4,5,3,4,1,3,2,2
UI/UX Designer,4,3,5,3,4,5,5,2,3,5,4,2,5,3,2,3,3,3,2,5
Software Engineer,5,2,1,1,1,4,2,4,1,4,4,2,3,4,4,1,1,1,5,4
Business Analyst,2,5,3,4,4,2,3,3,5,4,1,2,2,2,2,1,1,5,4,1
Machine Learning Engineer,4,1,3,5,1,1,3,1,2,1,4,3,4,5,4,2,2,4,5,1
Data Scientist,4,4,4,1,3,5,3,5,5,4,2,4,1,5,2,5,5,4,2,2
Cloud Architect,5,2,2,4,3,1,3,2,5,1,1,5,1,5,1,3,1,4,5,1
Cloud Architect,5,4,1,1,4,4,4,5,4,5,3,1,1,2,3,4,4,3,4,2
Cybersecurity Analyst,1,3,1,5,3,5,4,4,4,5,5,5,1,5,4,2,5,2,4,5
Software Engineer,1,2,1,1,1,4,1,3,5,1,1,1,3,1,1,5,3,3,1,3
Product Manager,2,3,3,3,4,4,4,3,2,3,1,2,4,5,2,4,2,2,3,1
DevOps Engineer,2,5,2,1,5,4,2,1,5,2,2,4,1,3,2,5,4,4,2,2
UI/UX Designer,2,3,2,1,5,2,3,5,4,2,5,4,3,1,2,1,3,5,5,3
Cloud Architect,3,2,4,1,1,5,5,2,3,1,2,5,5,1,5,5,4,3,5,4
Data Scientist,5,2,5,1,4,4,1,3,4,2,4,3,2,2,1,5,1,5,1,5
Mobile App Developer,2,5,4,3,1,3,4,3,3,4,2,5,1,5,1,5,3,2,3,2
UI/UX Designer,4,1,1,4,5,4,4,2,4,1,3,2,2,5,3,2,4,2,2,2
Cybersecurity Analyst,2,2,5,3,1,5,5,2,2,1,2,4,2,2,4,1,4,5,4,3
Blockchain Developer,5,1,1,4,5,2,1,2,3,1,4,3,5,2,1,3,3,1,5,5
DevOps Engineer,5,4,3,1,5,4,3,5,2,3,5,3,1,1,1,2,1,2,1,3
Cybersecurity Analyst,1,5,1,1,4,4,4,2,4,1,3,4,4,3,1,2,4,3,1,5
Data Scientist,3,3,3,4,5,2,1,1,5,3,3,3,3,3,5,4,2,3,4,1
UI/UX Designer,4,3,3,3,4,3,4,3,1,1,2,3,3,4,4,3,2,3,4,3
Mobile App Developer,3,5,4,2,5,3,4,5,2,4,5,5,5,1,3,4,4,4,5,3
Blockchain Developer,4,3,3,1,4,5,3,3,2,1,3,3,5,5,2,2,2,5,5,1
DevOps Engineer,4,1,4,5,4,5,1,2,1,4,5,4,4,2,4,2,5,5,2,1
Cybersecurity Analyst,1,5,5,3,4,4,1,4,1,5,3,3,5,2,2,4,1,3,4,5
Cloud Architect,3,1,1,2,4,5,3,1,3,5,3,4,2,3,2,5,2,3,3,1
Cloud Architect,3,2,1,3,3,5,1,5,5,5,4,5,2,3,4,5,3,1,1,3
Blockchain Developer,3,3,4,1,1,5,3,3,2,1,2,4,5,2,1,4,3,4,2,1
Blockchain Developer,3,3,1,5,4,4,3,2,2,5,2,4,2,5,4,2,4,3,3,3
Data Scientist,5,4,1,3,3,1,1,2,4,3,5,2,2,5,5,5,1,3,1,3
Cloud Architect,1,4,3,2,3,3,3,4,1,2,1,1,5,4,5,4,1,1,4,1
Software Engineer,2,5,5,5,3,2,5,5,2,1,5,1,5,4,3,5,4,2,4,2
Cybersecurity Analyst,2,4,3,1,1,3,1,5,5,4,4,2,4,5,4,1,2,2,5,4
